method,dimension,accuracy
kernel k-groups,35,0.87
k-means,60,0.875
gmm,60,0.85
spectral clustering,60,0.88
kernel k-means,60,0.865
kernel k-groups,60,0.87
k-means,85,0.865
gmm,85,0.825
spectral clustering,85,0.885
kernel k-means,85,0.87
kernel k-groups,85,0.895
k-means,110,0.85
gmm,110,0.81
spectral clustering,110,0.85
kernel k-means,110,0.85
kernel k-groups,110,0.865
k-means,135,0.82
gmm,135,0.795
spectral clustering,135,0.825
kernel k-means,135,0.775
kernel k-groups,135,0.84
k-means,160,0.825
gmm,160,0.79
spectral clustering,160,0.83
kernel k-means,160,0.795
kernel k-groups,160,0.825
k-means,185,0.85
gmm,185,0.85
spectral clustering,185,0.855
kernel k-means,185,0.74
kernel k-groups,185,0.885
k-means,210,0.8
gmm,210,0.605
spectral clustering,210,0.85
kernel k-means,210,0.695
kernel k-groups,210,0.86
k-means,235,0.765
gmm,235,0.59
spectral clustering,235,0.765
kernel k-means,235,0.545
kernel k-groups,235,0.805
k-means,260,0.805
gmm,260,0.705
spectral clustering,260,0.835
kernel k-means,260,0.665
kernel k-groups,260,0.83
k-means,285,0.745
gmm,285,0.685
spectral clustering,285,0.775
kernel k-means,285,0.58
kernel k-groups,285,0.79
k-means,310,0.775
gmm,310,0.735
spectral clustering,310,0.82
kernel k-means,310,0.575
kernel k-groups,310,0.8
k-means,335,0.77
gmm,335,0.52
spectral clustering,335,0.8
kernel k-means,335,0.565
kernel k-groups,335,0.8
k-means,360,0.74
gmm,360,0.655
spectral clustering,360,0.795
kernel k-means,360,0.585
kernel k-groups,360,0.855
k-means,385,0.71
gmm,385,0.54
spectral clustering,385,0.795
kernel k-means,385,0.575
kernel k-groups,385,0.785
k-means,410,0.595
gmm,410,0.535
spectral clustering,410,0.745
kernel k-means,410,0.57
kernel k-groups,410,0.76
k-means,435,0.62
gmm,435,0.57
spectral clustering,435,0.83
kernel k-means,435,0.645
kernel k-groups,435,0.785
k-means,460,0.665
gmm,460,0.665
spectral clustering,460,0.775
kernel k-means,460,0.53
kernel k-groups,460,0.78
k-means,485,0.665
gmm,485,0.525
spectral clustering,485,0.81
kernel k-means,485,0.59
kernel k-groups,485,0.775
k-means,510,0.62
gmm,510,0.625
spectral clustering,510,0.775
kernel k-means,510,0.5
kernel k-groups,510,0.77
k-means,535,0.55
gmm,535,0.56
spectral clustering,535,0.7
kernel k-means,535,0.515
kernel k-groups,535,0.655
k-means,560,0.535
gmm,560,0.58
spectral clustering,560,0.765
kernel k-means,560,0.555
kernel k-groups,560,0.78
k-means,585,0.645
gmm,585,0.58
spectral clustering,585,0.75
kernel k-means,585,0.62
kernel k-groups,585,0.755
k-means,610,0.575
gmm,610,0.515
spectral clustering,610,0.805
kernel k-means,610,0.53
kernel k-groups,610,0.77
k-means,635,0.655
gmm,635,0.535
spectral clustering,635,0.785
kernel k-means,635,0.53
kernel k-groups,635,0.77
k-means,660,0.605
gmm,660,0.595
spectral clustering,660,0.715
kernel k-means,660,0.6
kernel k-groups,660,0.725
k-means,685,0.595
gmm,685,0.6
spectral clustering,685,0.785
kernel k-means,685,0.67
kernel k-groups,685,0.75
k-means,710,0.63
gmm,710,0.505
spectral clustering,710,0.835
kernel k-means,710,0.56
kernel k-groups,710,0.83
k-means,10,0.855
gmm,10,0.94
spectral clustering,10,0.885
kernel k-means,10,0.88
kernel k-groups,10,0.905
k-means,35,0.805
gmm,35,0.785
spectral clustering,35,0.845
kernel k-means,35,0.81
kernel k-groups,35,0.83
k-means,60,0.85
gmm,60,0.825
spectral clustering,60,0.845
kernel k-means,60,0.835
kernel k-groups,60,0.86
k-means,85,0.79
gmm,85,0.7
spectral clustering,85,0.845
kernel k-means,85,0.785
kernel k-groups,85,0.805
k-means,110,0.81
gmm,110,0.8
spectral clustering,110,0.85
kernel k-means,110,0.795
kernel k-groups,110,0.845
k-means,135,0.76
gmm,135,0.63
spectral clustering,135,0.765
kernel k-means,135,0.775
kernel k-groups,135,0.775
k-means,160,0.8
gmm,160,0.61
spectral clustering,160,0.775
kernel k-means,160,0.645
kernel k-groups,160,0.795
k-means,185,0.73
gmm,185,0.6
spectral clustering,185,0.82
kernel k-means,185,0.54
kernel k-groups,185,0.815
k-means,210,0.83
gmm,210,0.825
spectral clustering,210,0.855
kernel k-means,210,0.71
kernel k-groups,210,0.865
k-means,235,0.755
gmm,235,0.765
spectral clustering,235,0.805
kernel k-means,235,0.7
kernel k-groups,235,0.81
k-means,260,0.67
gmm,260,0.66
spectral clustering,260,0.83
kernel k-means,260,0.625
kernel k-groups,260,0.815
k-means,285,0.64
gmm,285,0.765
spectral clustering,285,0.855
kernel k-means,285,0.655
kernel k-groups,285,0.85
k-means,310,0.745
gmm,310,0.645
spectral clustering,310,0.795
kernel k-means,310,0.635
kernel k-groups,310,0.785
k-means,335,0.735
gmm,335,0.59
spectral clustering,335,0.83
kernel k-means,335,0.55
kernel k-groups,335,0.78
k-means,360,0.68
gmm,360,0.63
spectral clustering,360,0.815
kernel k-means,360,0.54
kernel k-groups,360,0.84
k-means,385,0.76
gmm,385,0.565
spectral clustering,385,0.795
kernel k-means,385,0.6
kernel k-groups,385,0.815
k-means,410,0.63
gmm,410,0.64
spectral clustering,410,0.795
kernel k-means,410,0.65
kernel k-groups,410,0.765
k-means,435,0.585
gmm,435,0.56
spectral clustering,435,0.755
kernel k-means,435,0.595
kernel k-groups,435,0.79
k-means,460,0.53
gmm,460,0.65
spectral clustering,460,0.82
kernel k-means,460,0.53
kernel k-groups,460,0.775
k-means,485,0.655
gmm,485,0.585
spectral clustering,485,0.855
kernel k-means,485,0.625
kernel k-groups,485,0.83
k-means,510,0.66
gmm,510,0.565
spectral clustering,510,0.795
kernel k-means,510,0.66
kernel k-groups,510,0.82
k-means,535,0.615
gmm,535,0.525
spectral clustering,535,0.795
kernel k-means,535,0.525
kernel k-groups,535,0.77
k-means,560,0.505
gmm,560,0.555
spectral clustering,560,0.785
kernel k-means,560,0.515
kernel k-groups,560,0.775
k-means,585,0.57
gmm,585,0.56
spectral clustering,585,0.76
kernel k-means,585,0.605
kernel k-groups,585,0.725
k-means,610,0.55
gmm,610,0.53
spectral clustering,610,0.835
kernel k-means,610,0.585
kernel k-groups,610,0.855
k-means,635,0.62
gmm,635,0.565
spectral clustering,635,0.76
kernel k-means,635,0.555
kernel k-groups,635,0.705
k-means,660,0.555
gmm,660,0.565
spectral clustering,660,0.81
kernel k-means,660,0.665
kernel k-groups,660,0.83
k-means,685,0.525
gmm,685,0.595
spectral clustering,685,0.8
kernel k-means,685,0.57
kernel k-groups,685,0.78
k-means,710,0.59
gmm,710,0.58
spectral clustering,710,0.71
kernel k-means,710,0.59
kernel k-groups,710,0.69
k-means,10,0.84
gmm,10,0.91
spectral clustering,10,0.88
kernel k-means,10,0.895
kernel k-groups,10,0.895
k-means,35,0.8
gmm,35,0.8
spectral clustering,35,0.805
kernel k-means,35,0.81
kernel k-groups,35,0.795
k-means,60,0.845
gmm,60,0.825
spectral clustering,60,0.855
kernel k-means,60,0.855
kernel k-groups,60,0.845
k-means,85,0.835
gmm,85,0.79
spectral clustering,85,0.87
kernel k-means,85,0.84
kernel k-groups,85,0.855
k-means,110,0.835
gmm,110,0.83
spectral clustering,110,0.835
kernel k-means,110,0.71
kernel k-groups,110,0.85
k-means,135,0.855
gmm,135,0.89
spectral clustering,135,0.88
kernel k-means,135,0.85
kernel k-groups,135,0.875
k-means,160,0.79
gmm,160,0.61
spectral clustering,160,0.855
kernel k-means,160,0.785
kernel k-groups,160,0.87
k-means,185,0.805
gmm,185,0.785
spectral clustering,185,0.84
kernel k-means,185,0.58
kernel k-groups,185,0.845
k-means,210,0.81
gmm,210,0.755
spectral clustering,210,0.8
kernel k-means,210,0.68
kernel k-groups,210,0.825
k-means,235,0.62
gmm,235,0.54
spectral clustering,235,0.79
kernel k-means,235,0.58
kernel k-groups,235,0.835
k-means,260,0.77
gmm,260,0.55
spectral clustering,260,0.825
kernel k-means,260,0.66
kernel k-groups,260,0.83
k-means,285,0.59
gmm,285,0.62
spectral clustering,285,0.83
kernel k-means,285,0.56
kernel k-groups,285,0.825
k-means,310,0.685
gmm,310,0.55
spectral clustering,310,0.765
kernel k-means,310,0.57
kernel k-groups,310,0.785
k-means,335,0.73
gmm,335,0.825
spectral clustering,335,0.855
kernel k-means,335,0.695
kernel k-groups,335,0.86
k-means,360,0.57
gmm,360,0.65
spectral clustering,360,0.85
kernel k-means,360,0.56
kernel k-groups,360,0.8
k-means,385,0.57
gmm,385,0.52
spectral clustering,385,0.8
kernel k-means,385,0.57
kernel k-groups,385,0.845
k-means,410,0.59
gmm,410,0.56
spectral clustering,410,0.78
kernel k-means,410,0.59
kernel k-groups,410,0.775
k-means,435,0.665
gmm,435,0.57
spectral clustering,435,0.8
kernel k-means,435,0.51
kernel k-groups,435,0.8
k-means,460,0.625
gmm,460,0.67
spectral clustering,460,0.77
kernel k-means,460,0.525
kernel k-groups,460,0.8
k-means,485,0.635
gmm,485,0.505
spectral clustering,485,0.79
kernel k-means,485,0.5
kernel k-groups,485,0.805
k-means,510,0.585
gmm,510,0.505
spectral clustering,510,0.79
kernel k-means,510,0.64
kernel k-groups,510,0.825
k-means,535,0.595
gmm,535,0.54
spectral clustering,535,0.78
kernel k-means,535,0.525
kernel k-groups,535,0.79
k-means,560,0.62
gmm,560,0.58
spectral clustering,560,0.825
kernel k-means,560,0.59
kernel k-groups,560,0.86
k-means,585,0.515
gmm,585,0.64
spectral clustering,585,0.805
kernel k-means,585,0.565
kernel k-groups,585,0.775
k-means,610,0.53
gmm,610,0.515
spectral clustering,610,0.79
kernel k-means,610,0.665
kernel k-groups,610,0.8
k-means,635,0.53
gmm,635,0.55
spectral clustering,635,0.805
kernel k-means,635,0.6
kernel k-groups,635,0.815
k-means,660,0.605
gmm,660,0.565
spectral clustering,660,0.75
kernel k-means,660,0.545
kernel k-groups,660,0.77
k-means,685,0.52
gmm,685,0.535
spectral clustering,685,0.795
kernel k-means,685,0.545
kernel k-groups,685,0.83
k-means,710,0.525
gmm,710,0.665
spectral clustering,710,0.755
kernel k-means,710,0.545
kernel k-groups,710,0.755
k-means,10,0.855
gmm,10,0.93
spectral clustering,10,0.795
kernel k-means,10,0.89
kernel k-groups,10,0.9
k-means,35,0.825
gmm,35,0.815
spectral clustering,35,0.81
kernel k-means,35,0.85
kernel k-groups,35,0.85
k-means,60,0.83
gmm,60,0.825
spectral clustering,60,0.83
kernel k-means,60,0.83
kernel k-groups,60,0.845
k-means,85,0.805
gmm,85,0.7
spectral clustering,85,0.775
kernel k-means,85,0.81
kernel k-groups,85,0.8
k-means,110,0.845
gmm,110,0.775
spectral clustering,110,0.83
kernel k-means,110,0.78
kernel k-groups,110,0.84
k-means,135,0.815
gmm,135,0.805
spectral clustering,135,0.825
kernel k-means,135,0.755
kernel k-groups,135,0.825
k-means,160,0.845
gmm,160,0.835
spectral clustering,160,0.85
kernel k-means,160,0.67
kernel k-groups,160,0.87
k-means,185,0.755
gmm,185,0.515
spectral clustering,185,0.81
kernel k-means,185,0.65
kernel k-groups,185,0.825
k-means,210,0.705
gmm,210,0.775
spectral clustering,210,0.805
kernel k-means,210,0.695
kernel k-groups,210,0.855
k-means,235,0.86
gmm,235,0.6
spectral clustering,235,0.89
kernel k-means,235,0.66
kernel k-groups,235,0.9
k-means,260,0.81
gmm,260,0.755
spectral clustering,260,0.805
kernel k-means,260,0.745
kernel k-groups,260,0.815
k-means,285,0.625
gmm,285,0.625
spectral clustering,285,0.75
kernel k-means,285,0.64
kernel k-groups,285,0.78
k-means,310,0.79
gmm,310,0.8
spectral clustering,310,0.85
kernel k-means,310,0.52
kernel k-groups,310,0.805
k-means,335,0.75
gmm,335,0.68
spectral clustering,335,0.825
kernel k-means,335,0.55
kernel k-groups,335,0.83
k-means,360,0.645
gmm,360,0.56
spectral clustering,360,0.86
kernel k-means,360,0.585
kernel k-groups,360,0.84
k-means,385,0.605
gmm,385,0.545
spectral clustering,385,0.805
kernel k-means,385,0.57
kernel k-groups,385,0.755
k-means,410,0.555
gmm,410,0.605
spectral clustering,410,0.675
kernel k-means,410,0.555
kernel k-groups,410,0.685
k-means,435,0.65
gmm,435,0.755
spectral clustering,435,0.85
kernel k-means,435,0.635
kernel k-groups,435,0.84
k-means,460,0.6
gmm,460,0.565
spectral clustering,460,0.775
kernel k-means,460,0.525
kernel k-groups,460,0.73
k-means,485,0.66
gmm,485,0.575
spectral clustering,485,0.79
kernel k-means,485,0.535
kernel k-groups,485,0.765
k-means,510,0.625
gmm,510,0.67
spectral clustering,510,0.81
kernel k-means,510,0.58
kernel k-groups,510,0.845
k-means,535,0.58
gmm,535,0.645
spectral clustering,535,0.815
kernel k-means,535,0.67
kernel k-groups,535,0.825
k-means,560,0.605
gmm,560,0.525
spectral clustering,560,0.775
kernel k-means,560,0.61
kernel k-groups,560,0.81
k-means,585,0.56
gmm,585,0.565
spectral clustering,585,0.77
kernel k-means,585,0.605
kernel k-groups,585,0.765
k-means,610,0.625
gmm,610,0.535
spectral clustering,610,0.77
kernel k-means,610,0.505
kernel k-groups,610,0.775
k-means,635,0.515
gmm,635,0.535
spectral clustering,635,0.715
kernel k-means,635,0.575
kernel k-groups,635,0.645
k-means,660,0.595
gmm,660,0.515
spectral clustering,660,0.73
kernel k-means,660,0.575
kernel k-groups,660,0.62
k-means,685,0.615
gmm,685,0.58
spectral clustering,685,0.76
kernel k-means,685,0.5
kernel k-groups,685,0.62
k-means,710,0.565
gmm,710,0.6
spectral clustering,710,0.745
kernel k-means,710,0.55
kernel k-groups,710,0.74
