method,num_points,accuracy
kernel k-groups,350,0.505714285714
k-means,370,0.537837837838
gmm,370,0.543243243243
kernel k-groups,370,0.845945945946
k-means,390,0.548717948718
gmm,390,0.558974358974
kernel k-groups,390,0.835897435897
k-means,410,0.50487804878
gmm,410,0.514634146341
kernel k-groups,410,0.50487804878
k-means,430,0.518604651163
gmm,430,0.502325581395
kernel k-groups,430,0.844186046512
k-means,450,0.513333333333
gmm,450,0.526666666667
kernel k-groups,450,0.86
k-means,470,0.521276595745
gmm,470,0.502127659574
kernel k-groups,470,0.823404255319
k-means,490,0.530612244898
gmm,490,0.508163265306
kernel k-groups,490,0.859183673469
k-means,510,0.686274509804
gmm,510,0.543137254902
kernel k-groups,510,0.837254901961
k-means,530,0.516981132075
gmm,530,0.516981132075
kernel k-groups,530,0.516981132075
k-means,550,0.505454545455
gmm,550,0.503636363636
kernel k-groups,550,0.883636363636
k-means,570,0.540350877193
gmm,570,0.540350877193
kernel k-groups,570,0.866666666667
k-means,590,0.525423728814
gmm,590,0.528813559322
kernel k-groups,590,0.78813559322
k-means,610,0.504918032787
gmm,610,0.509836065574
kernel k-groups,610,0.834426229508
k-means,630,0.5
gmm,630,0.522222222222
kernel k-groups,630,0.820634920635
k-means,650,0.552307692308
gmm,650,0.567692307692
kernel k-groups,650,0.853846153846
k-means,670,0.510447761194
gmm,670,0.510447761194
kernel k-groups,670,0.816417910448
k-means,690,0.504347826087
gmm,690,0.504347826087
kernel k-groups,690,0.524637681159
k-means,710,0.525352112676
gmm,710,0.525352112676
kernel k-groups,710,0.867605633803
k-means,730,0.517808219178
gmm,730,0.541095890411
kernel k-groups,730,0.83698630137
k-means,750,0.510666666667
gmm,750,0.52
kernel k-groups,750,0.846666666667
k-means,770,0.506493506494
gmm,770,0.522077922078
kernel k-groups,770,0.849350649351
k-means,790,0.525316455696
gmm,790,0.53164556962
kernel k-groups,790,0.849367088608
k-means,10,0.7
gmm,10,0.7
kernel k-groups,10,0.7
k-means,30,0.533333333333
gmm,30,0.533333333333
kernel k-groups,30,0.533333333333
k-means,50,0.8
gmm,50,0.84
